Student,Race,Grad
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,1
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
Athlete,White,0
